refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid,id,libname,cas,library
Methyl vanillate,Polyketides,Phenolic acids,Phenolic acids,C9H10O4,182.05791,BVWTXUYLKBHMOX-UHFFFAOYSA-N,COc1cc(ccc1O)C(=O)OC,19844,RefMet_133026,HMDB0240266_c_ms_102595,3943-74-6,MoNA-export-HMDB
Methyl vanillate,Polyketides,Phenolic acids,Phenolic acids,C9H10O4,182.05791,BVWTXUYLKBHMOX-UHFFFAOYSA-N,COc1cc(ccc1O)C(=O)OC,19844,RefMet_133026,HMDB0240266_c_ms_102594,3943-74-6,MoNA-export-HMDB
cis-Vaccenic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H34O2,282.25588,UWHZIFQPPBDJPM-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCCC(=O)O,5282761,RefMet_3544,HMDB0240219_ms_ms_1218152,506-17-2,MoNA-export-HMDB
cis-Vaccenic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H34O2,282.25588,UWHZIFQPPBDJPM-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCCC(=O)O,5282761,RefMet_3544,HMDB0240219_ms_ms_1218151,506-17-2,MoNA-export-HMDB
cis-Vaccenic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H34O2,282.25588,UWHZIFQPPBDJPM-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCCC(=O)O,5282761,RefMet_3544,HMDB0240219_ms_ms_1218150,506-17-2,MoNA-export-HMDB
Epsilon-caprolactam,Organoheterocyclic compounds,Caprolactams,Caprolactams,C6H11NO,113.084064,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,C1CCC(=O)NCC1,7768,RefMet_131723,HMDB0062769_c_ms_102577,105-60-2,MoNA-export-HMDB
Epsilon-caprolactam,Organoheterocyclic compounds,Caprolactams,Caprolactams,C6H11NO,113.084064,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,C1CCC(=O)NCC1,7768,RefMet_131723,HMDB0062769_c_ms_102576,105-60-2,MoNA-export-HMDB
N-Butyl Oleate,Fatty Acyls,Fatty acids,Fatty esters,C22H42O2,338.31848,WIBFFTLQMKKBLZ-SEYXRHQNSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,5354342,RefMet_2944,HMDB0062659_c_ms_102552,142-77-8,MoNA-export-HMDB
N-Butyl Oleate,Fatty Acyls,Fatty acids,Fatty esters,C22H42O2,338.31848,WIBFFTLQMKKBLZ-SEYXRHQNSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCC,5354342,RefMet_2944,HMDB0062659_c_ms_102551,142-77-8,MoNA-export-HMDB
4-Nitrophenol,Benzenoids,Phenols,Nitrophenols,C6H5NO3,139.026944,BTJIUGUIPKRLHP-UHFFFAOYSA-N,c1cc(ccc1[N+](=O)[O-])O,980,RefMet_1702,HMDB0062627_c_ms_99672,-,MoNA-export-HMDB
